type,count
博弈業 計數,1
普通倉儲業 計數,4
普通航空業 計數,1
期貨商 計數,1
棉紡紗業 計數,6
港埠業 計數,1
發電、輸電、配電機械製造業 計數,21
短期住宿服務業 計數,2
視聽電子產品製造業 計數,10
量測、導航及控制設備製造業 計數,6
塑膠日用品製造業 計數,3
塑膠膜袋製造業 計數,3
塗料、染料及顏料製造業 計數,6
照明器具製造業 計數,5
照相機製造業 計數,12
資料處理、網站代管及相關服務業 計數,6
資料儲存媒體製造業 計數,18
資料儲存媒體複製業 計數,1
資源回收業 計數,2
農用及工業用機械設備批發業 計數,5
農產品整理業 計數,1
運動用品、器材批發業 計數,12
運動用品、器材零售業 計數,7
電力供應業 計數,8
電子及半導體生產用機械設備製造業 計數,15
電子設備及其零組件批發業 計數,106
電子管製造業 計數,47
電子購物及郵購業 計數,7
電池製造業 計數,9
電信業 計數,29
電腦及其週邊設備、軟體批發業 計數,68
電腦及其週邊設備、軟體零售業 計數,13
電腦及其週邊設備修理業 計數,8
電腦系統整合服務業 計數,7
電腦軟體設計業 計數,31
電腦製造業 計數,90
電話及手機製造業 計數,50
電線及電纜製造業 計數,29
電燈泡及燈管製造業 計數,2
磁磚、貼面石材、衛浴設備批發業 計數,1
管理顧問業 計數,15
綜合研究發展服務業 計數,1
綜合商品批發業 計數,29
製糖業 計數,1
銀行業 計數,7
影片發行業 計數,1
穀類及豆類批發業 計數,2
蔬果製品製造業 計數,1
調味品製造業 計數,5
輪胎製造業 計數,5
鋁材軋延、擠型、伸線業 計數,6
鋁鑄造業 計數,1
鞋類批發業 計數,1
鞋類製造業 計數,1
機車零件製造業 計數,6
機車零售業 計數,1
機車製造業 計數,2
機械傳動設備製造業 計數,2
機電、電信及電路設備安裝業 計數,8
橡膠及塑膠加工用機械設備製造業 計數,2
澱粉及其製品製造業 計數,3
積體電路製造業 計數,154
輸送機械設備製造業 計數,1
輻射及電子醫學設備製造業 計數,11
辦公用機械設備租賃業 計數,1
辦公用機械器具批發業 計數,49
鋼鐵伸線業 計數,5
鋼鐵冶鍊業 計數,2
鋼鐵軋延及擠型業 計數,8
鋼鐵鑄造業 計數,12
餐館業 計數,5
螺絲、螺帽及鉚釘製造業 計數,8
鍋爐、金屬貯槽及壓力容器製造業 計數,1
黏土建築材料製造業 計數,1
殯葬服務業 計數,1
醫學檢驗服務業 計數,1
繩、纜、網製造業 計數,1
藥品及醫療用品批發業 計數,17
藥品及醫療用品零售業 計數,6
證券金融業 計數,2
證券商 計數,7
鐘錶及眼鏡批發業 計數,1
護理照顧服務業 計數,1
顯示器及終端機製造業 計數,3
體外檢驗試劑製造業 計數,1
體育用品製造業 計數,2
其他 計數,87
