巴西,瑞士,荷蘭,印尼,丹麥,波蘭,韓國,英屬開曼群島,馬來西亞,柬埔寨,百慕達,阿拉伯聯合大公國,泰國,寮國,塞席爾,汶萊,西班牙,法國,越南,阿根廷,鄉鎮市區,義大利,菲律賓,貝里斯,香港,所在縣市,模里西斯,英國,加拿大,日本,巴拿馬,英屬維京群島,美國,巴哈馬,墨西哥,外商個數,俄羅斯,澳大利亞,捷克,新加坡,奧地利,印度,薩摩亞,匈牙利,德國
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新台五,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,林口鄉,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,樹林鎮,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,光復路,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,汐止鎮,0,0,0,0,新北市,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,康寧街,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新店寶,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,深坑區,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,淡水區,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,板穚市,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,俊英街,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,新莊區,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,泰山區,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,樹林市,0,0,0,0,新北市,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
