鄉鎮市區,外商個數,所在縣市,英屬維京群島,義大利,美國,香港,日本,越南,英屬開曼群島
斗六市,12,雲林縣,3,1,1,2,0,4,1
麥寮鄉,6,雲林縣,2,0,1,0,1,1,1
