鄉鎮市區,外商個數,所在縣市,香港,模里西斯,韓國,英屬開曼群島,馬來西亞,英屬維京群島,美國,百慕達,巴拉圭,俄羅斯,澳大利亞,泰國,薩摩亞,越南,德國
草屯鎮,3,南投縣,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
南投市,18,南投縣,1,1,1,2,1,3,2,0,1,1,1,1,1,1,1
